lat,long,type
42.33325635,-71.07289955,SIMPLE ASSAULT
42.32989135,-71.08442956,SIMPLE ASSAULT
42.28413251,-71.06958228,SIMPLE ASSAULT
42.32143135,-71.07804955,SIMPLE ASSAULT
42.31530135,-71.09485955,AGGRAVATED ASSAULT
42.2965098,-71.0596827,AGGRAVATED ASSAULT
42.29671933,-71.07621046,SIMPLE ASSAULT
42.35243134,-71.06577456,SIMPLE ASSAULT
42.34969134,-71.06520956,SIMPLE ASSAULT
42.36394634,-71.05943956,AGGRAVATED ASSAULT
42.30675215,-71.06028047,AGGRAVATED ASSAULT
42.33232193,-71.10166967,SIMPLE ASSAULT
42.36126135,-71.06374956,SIMPLE ASSAULT
42.26169419,-71.15655463,FIRE
42.33297171,-71.02655132,SIMPLE ASSAULT
42.39092024,-71.00806477,SIMPLE ASSAULT
42.32549135,-71.06574955,SIMPLE ASSAULT
42.32669135,-71.08685955,AGGRAVATED ASSAULT
42.37461134,-71.03985957,SIMPLE ASSAULT
42.32787135,-71.05306457,SIMPLE ASSAULT
42.36763134,-71.06576456,SIMPLE ASSAULT
42.33403135,-71.08903955,SIMPLE ASSAULT
42.33551635,-71.07824956,SIMPLE ASSAULT
42.31834044,-71.07743818,AGGRAVATED ASSAULT
42.31691026,-71.06993692,FIRE
42.37923634,-71.03799957,AGGRAVATED ASSAULT
42.31576135,-71.06645456,SIMPLE ASSAULT
42.31700135,-71.06508957,AGGRAVATED ASSAULT
42.30745053,-71.1163492,FIRE
42.34449635,-71.09799455,SIMPLE ASSAULT
42.29440136,-71.07810956,AGGRAVATED ASSAULT
42.30661328,-71.08584104,SIMPLE ASSAULT
42.36584664,-71.065539,SIMPLE ASSAULT
42.31126136,-71.07002957,AGGRAVATED ASSAULT
42.32220635,-71.08208955,SIMPLE ASSAULT
42.28811636,-71.08416956,SIMPLE ASSAULT
42.33639635,-71.04115457,SIMPLE ASSAULT
42.30901619,-71.05810831,SIMPLE ASSAULT
42.34904135,-71.15230453,SIMPLE ASSAULT
42.34716136,-71.09599455,SIMPLE ASSAULT
