lat,long,type
42.30791981,-71.11881067,TOWED
42.32898135,-71.05629456,OTHER LARCENY
42.27268559,-71.1091948,TOWED
42.31609135,-71.08205455,OTHER LARCENY
42.36552135,-71.05836956,OTHER
42.32623635,-71.10315955,OTHER LARCENY
42.34913635,-71.09458955,OTHER
42.27392431,-71.07031625,OTHER LARCENY
42.29348136,-71.12059454,TOWED
42.30258644,-71.05634956,OTHER LARCENY
42.2835683,-71.09354788,OTHER LARCENY
42.33676635,-71.07665456,OTHER LARCENY
42.35193134,-71.07377956,OTHER LARCENY
42.34384135,-71.06853956,OTHER LARCENY
42.35586683,-71.05996907,OTHER LARCENY
42.35057135,-71.07881456,OTHER LARCENY
42.35679134,-71.05898956,OTHER LARCENY
42.307421,-71.1154445,OTHER LARCENY
42.30855664,-71.11369158,OTHER LARCENY
42.34873135,-71.09727955,OTHER LARCENY
42.35691634,-71.06073956,OTHER LARCENY
42.35230134,-71.06367456,OTHER LARCENY
42.31776135,-71.09824955,OTHER LARCENY
42.33140135,-71.10240455,OTHER LARCENY
42.34587634,-71.06334456,OTHER
42.33448635,-71.02713957,TOWED
42.31797679,-71.05326265,TOWED
42.30449824,-71.07299484,OTHER LARCENY
42.35932135,-71.06502957,OTHER LARCENY
42.31685135,-71.06016456,OTHER LARCENY
0.0,0.0,TOWED
42.36417134,-71.05366956,OTHER LARCENY
42.35718692,-71.05863074,OTHER LARCENY
42.28694136,-71.04415957,TOWED
42.29263636,-71.05239458,TOWED
42.33109591,-71.09038894,OTHER LARCENY
42.3403538,-71.15384822,TOWED
42.33556135,-71.04074457,TOWED
42.32543556,-71.06387302,OTHER LARCENY
42.34199635,-71.10011455,TOWED
42.35013134,-71.07714456,OTHER LARCENY
42.35026135,-71.08356956,TOWED
42.37722134,-71.05120956,OTHER LARCENY
42.32086549,-71.10668335,OTHER LARCENY
42.3265372,-71.05533732,OTHER LARCENY
42.34998635,-71.08103456,OTHER LARCENY
42.35075635,-71.07485456,OTHER LARCENY
42.34721134,-71.08799955,OTHER LARCENY
42.36272959,-71.05875616,OTHER LARCENY
42.35767134,-71.06075956,OTHER LARCENY
42.32958135,-71.10609955,OTHER LARCENY
42.36115668,-71.06254825,OTHER LARCENY
42.33151135,-71.07083456,OTHER LARCENY
42.33742635,-71.02871457,TOWED
42.28605636,-71.12954954,OTHER LARCENY
42.34710135,-71.07960455,OTHER LARCENY
42.30182635,-71.06128456,OTHER LARCENY
42.34596161,-71.08400949,OTHER LARCENY
0.0,0.0,TOWED
42.33495566,-71.09373917,OTHER
42.34870134,-71.07425456,OTHER LARCENY
42.34873135,-71.09727955,OTHER
42.36122634,-71.06573956,OTHER LARCENY
42.33325635,-71.07289955,OTHER LARCENY
42.35528635,-71.16133953,TOWED
42.3403538,-71.15384822,TOWED
42.37475634,-71.06381456,OTHER LARCENY
42.31013635,-71.08759455,TOWED
42.33042083,-71.08249427,OTHER LARCENY
42.36749032,-71.05777014,OTHER
42.31776135,-71.09824955,OTHER LARCENY
42.33821135,-71.04877957,TOWED
0.0,0.0,OTHER LARCENY
42.34470431,-71.02941573,OTHER LARCENY
42.34891635,-71.16084953,TOWED
42.34602179,-71.03684536,OTHER LARCENY
42.34784635,-71.13276954,TOWED
42.36777807,-71.03942751,OTHER LARCENY
42.30059635,-71.06886956,OTHER LARCENY
42.28405295,-71.11241077,OTHER LARCENY
42.34909135,-71.15611953,OTHER LARCENY
42.34865634,-71.08256955,OTHER LARCENY
42.29684981,-71.04895284,OTHER LARCENY
42.25332425,-71.12466158,OTHER LARCENY
42.29505636,-71.07468956,OTHER LARCENY
42.35322634,-71.06283456,OTHER LARCENY
42.29230135,-71.04801957,OTHER LARCENY
42.35456134,-71.06213956,OTHER LARCENY
42.28558214,-71.08237984,OTHER LARCENY
42.35057135,-71.07881456,OTHER LARCENY
42.36358939,-71.06417862,OTHER LARCENY
42.36366135,-71.05465957,OTHER LARCENY
42.26091136,-71.11455955,OTHER LARCENY
42.34217135,-71.07498456,OTHER LARCENY
42.34710135,-71.07960455,OTHER LARCENY
0.0,0.0,OTHER LARCENY
42.31708135,-71.06526456,OTHER LARCENY
42.24122921,-71.12625579,OTHER LARCENY
42.31793135,-71.08213956,OTHER LARCENY
42.34862135,-71.07175956,OTHER LARCENY
42.27915137,-71.05255957,OTHER LARCENY
0.0,0.0,OTHER LARCENY
0.0,0.0,OTHER
42.27382137,-71.12368955,TOWED
42.28071137,-71.07712957,OTHER LARCENY
42.36664819,-71.05265204,OTHER LARCENY
42.32192837,-71.09771804,OTHER LARCENY
42.35307228,-71.06434623,OTHER LARCENY
42.33330635,-71.03329457,OTHER LARCENY
0.0,0.0,TOWED
42.34993134,-71.06720956,OTHER LARCENY
42.34386135,-71.14311954,TOWED
42.34521135,-71.09532955,OTHER LARCENY
42.36749032,-71.05777014,OTHER
42.35144292,-71.06952657,OTHER LARCENY
42.34003315,-71.15239421,TOWED
42.30552236,-71.11469913,TOWED
42.27379136,-71.11995955,TOWED
42.35307228,-71.06434623,OTHER LARCENY
42.33834288,-71.07878983,OTHER LARCENY
42.33751135,-71.09579455,OTHER LARCENY
42.35647634,-71.05929456,OTHER LARCENY
42.35135635,-71.07949456,OTHER LARCENY
42.33971836,-71.15166778,TOWED
42.37619134,-71.03980956,OTHER LARCENY
42.28779636,-71.07120956,OTHER LARCENY
42.35540635,-71.13302454,OTHER LARCENY
42.31284636,-71.07842455,TOWED
42.28586749,-71.12875636,OTHER LARCENY
42.33857135,-71.10873454,OTHER LARCENY
42.34521135,-71.08831955,OTHER LARCENY
42.34587634,-71.06334456,TOWED
42.32723569,-71.08059616,OTHER LARCENY
42.28000086,-71.0783768,OTHER LARCENY
